record_id,filer_id,filer_name,party,date,amount,payee_display,purpose_display,office,source_link,vendor_ids,vendor_names,vendor_groups,vendor_eras,confidences
3138305-2-EXP19,1487467,Leon A. Dixson,,2026-02-12,490.5,The Gemini Group / Jennifer Tierney,,,,google_ai,Google (Gemini / Vertex AI),general_purpose,generative,medium
3138305-38-EXP193,1487467,Leon A. Dixson,,2026-03-19,329.43,The Gemini Group / Jennifer Tierney,,,,google_ai,Google (Gemini / Vertex AI),general_purpose,generative,medium
3138305-62-EXP256,1487467,Leon A. Dixson,,2026-04-15,41.98,The Gemini Group / Jennifer Tierney,,,,google_ai,Google (Gemini / Vertex AI),general_purpose,generative,medium
3136893-20-E-424,1482383,Laurie Hauf,,2026-03-19,1000.0,The Gemini Group / Jennifer Tierney,,,,google_ai,Google (Gemini / Vertex AI),general_purpose,generative,medium
3138045-3-E1750886,1477625,Sergio Farias,,2026-01-05,2.07,Numero.ai,Online Contribution Processing Fee,,,numero_ai,Numero (donor database / call time),political_specific,legacy,high
3138045-4-E1750890,1477625,Sergio Farias,,2026-01-12,1.88,Numero.ai,Online Contribution Processing Fee,,,numero_ai,Numero (donor database / call time),political_specific,legacy,high
3137558-27-E-115,1484832,Leah Boucek,,2026-01-30,258.0,The Gemini Group / Jennifer Tierney,,,,google_ai,Google (Gemini / Vertex AI),general_purpose,generative,medium
3137558-28-E-159,1484832,Leah Boucek,,2026-03-19,2500.0,The Gemini Group / Jennifer Tierney,,,,google_ai,Google (Gemini / Vertex AI),general_purpose,generative,medium
3138045-9-E1750892,1477625,Sergio Farias,,2026-02-02,9.38,Numero.ai,Online Contribution Processing Fee,,,numero_ai,Numero (donor database / call time),political_specific,legacy,high
3138045-10-E1750894,1477625,Sergio Farias,,2026-02-09,13.32,Numero.ai,Online Contribution Processing Fee,,,numero_ai,Numero (donor database / call time),political_specific,legacy,high
3138045-12-E1750896,1477625,Sergio Farias,,2026-02-16,1.88,Numero.ai,Online Contribution Processing Fee,,,numero_ai,Numero (donor database / call time),political_specific,legacy,high
3138045-19-E1751486,1477625,Sergio Farias,,2026-03-09,0.19,Numero.ai,Online Contribution Processing Fee,,,numero_ai,Numero (donor database / call time),political_specific,legacy,high
3138045-20-E1751488,1477625,Sergio Farias,,2026-03-16,22.47,Numero.ai,Online Contribution Processing Fee,,,numero_ai,Numero (donor database / call time),political_specific,legacy,high
3138045-21-E1751490,1477625,Sergio Farias,,2026-03-23,26.27,Numero.ai,Online Contribution Processing Fee,,,numero_ai,Numero (donor database / call time),political_specific,legacy,high
3138045-23-E1751915,1477625,Sergio Farias,,2026-04-06,11.26,Numero.ai,Online Contribution Processing Fee,,,numero_ai,Numero (donor database / call time),political_specific,legacy,high
3138045-25-E1752196,1477625,Sergio Farias,,2026-04-13,24.38,Numero.ai,Online Contribution Processing Fee,,,numero_ai,Numero (donor database / call time),political_specific,legacy,high
3138000-1131-NON114183,741666,California Democratic Party,,2026-02-26,122.4,Grammarly,subscription,,,grammarly,Grammarly,general_purpose,legacy,high
3138000-1216-NON113152,741666,California Democratic Party,,2026-01-05,255.0,DonorAtlas,subscription,,,donoratlas,DonorAtlas,political_specific,generative,high
3138000-1217-NON113742,741666,California Democratic Party,,2026-01-30,255.0,DonorAtlas,subscription,,,donoratlas,DonorAtlas,political_specific,generative,high
3138000-1218-NON114174,741666,California Democratic Party,,2026-02-26,255.0,DonorAtlas,subscription,,,donoratlas,DonorAtlas,political_specific,generative,high
3138825-70-G-4152,1477458,Ted Nordblum,,2026-03-16,196.72,Anthropic,,,,anthropic,Anthropic (Claude),general_purpose,generative,high
3137757-2-EXP1135,1461592,Janelle Kellman,,2026-01-02,1000.0,NUMERO.AI,Numero monthly donor support subscription,,,numero_ai,Numero (donor database / call time),political_specific,legacy,high
3137757-27-EXP1136,1461592,Janelle Kellman,,2026-02-02,1000.0,NUMERO.AI,Numero subscription,,,numero_ai,Numero (donor database / call time),political_specific,legacy,high
3137757-55-EXP1137,1461592,Janelle Kellman,,2026-03-02,1000.0,NUMERO.AI,Numero subscription,,,numero_ai,Numero (donor database / call time),political_specific,legacy,high
3137748-21-EXP672,1435800,Project SuperBloom,,2026-01-12,400.0,CallTime.ai,,,,calltime_ai,CallTime.AI,political_specific,legacy,high
3137748-22-EXP731,1435800,Project SuperBloom,,2026-04-09,400.0,CallTime.ai,,,,calltime_ai,CallTime.AI,political_specific,legacy,high
3137757-97-EXP1211,1461592,Janelle Kellman,,2026-04-02,1000.0,NUMERO.AI,Numero donor support monthly subscription,,,numero_ai,Numero (donor database / call time),political_specific,legacy,high
3128786-25-E-68,1484438,Heath Langle,,2026-01-30,504.02,The Gemini Group / Jennifer Tierney,See Sch. G,,,google_ai,Google (Gemini / Vertex AI),general_purpose,generative,medium
3128786-26-E-110,1484438,Heath Langle,,2026-03-11,2500.0,The Gemini Group / Jennifer Tierney,,,,google_ai,Google (Gemini / Vertex AI),general_purpose,generative,medium
3136705-43-E-523,1484374,Tracy Prior,,2026-01-30,496.38,The Gemini Group / Jennifer Tierney,,,,google_ai,Google (Gemini / Vertex AI),general_purpose,generative,medium
3136705-44-E-568,1484374,Tracy Prior,,2026-03-19,2500.0,The Gemini Group / Jennifer Tierney,,,,google_ai,Google (Gemini / Vertex AI),general_purpose,generative,medium
3138146-61-E-1502,1481651,Che Ahn,,2026-01-07,1951.61,"Campaign Nucleus, LLC",,,,campaign_nucleus,Campaign Nucleus,political_specific,legacy,high
3138146-62-E-1795,1481651,Che Ahn,,2026-02-04,1575.0,"Campaign Nucleus, LLC",,,,campaign_nucleus,Campaign Nucleus,political_specific,legacy,high
3138146-63-E-2148,1481651,Che Ahn,,2026-03-03,275.99,"Campaign Nucleus, LLC",,,,campaign_nucleus,Campaign Nucleus,political_specific,legacy,high
3138146-64-E-2246,1481651,Che Ahn,,2026-03-30,2101.08,"Campaign Nucleus, LLC",,,,campaign_nucleus,Campaign Nucleus,political_specific,legacy,high
3138146-65-E-2300,1481651,Che Ahn,,2026-04-03,3274.07,"Campaign Nucleus, LLC",,,,campaign_nucleus,Campaign Nucleus,political_specific,legacy,high
3115750-319-E-24868,1480425,Stephen Hilton,,2025-10-03,12500.0,EyesOver LLC,,,,eyesover,EyesOver,political_specific,legacy,high
3115750-320-E-29248,1480425,Stephen Hilton,,2025-10-14,12500.0,EyesOver LLC,,,,eyesover,EyesOver,political_specific,legacy,high
3115750-321-E-37976,1480425,Stephen Hilton,,2025-10-30,12500.0,EyesOver LLC,,,,eyesover,EyesOver,political_specific,legacy,high
3115750-322-E-45074,1480425,Stephen Hilton,,2025-11-18,12500.0,EyesOver LLC,,,,eyesover,EyesOver,political_specific,legacy,high
3115750-323-E-49946,1480425,Stephen Hilton,,2025-12-04,12500.0,EyesOver LLC,,,,eyesover,EyesOver,political_specific,legacy,high
3115750-324-E-58398,1480425,Stephen Hilton,,2025-12-30,12500.0,EyesOver LLC,,,,eyesover,EyesOver,political_specific,legacy,high
3139022-37-EXP2593,1486858,Matt Mahan,,2026-04-03,100.0,Anthropic,,,,anthropic,Anthropic (Claude),general_purpose,generative,high
3135275-48-G-27151,742344,Monterey County Republican Central Committee (State),,2026-02-18,17.0,Chatgpt,Web Inquiries,,,openai,OpenAI (ChatGPT),general_purpose,generative,high
3135275-49-G-27155,742344,Monterey County Republican Central Committee (State),,2026-03-19,17.0,Chatgpt,Web Inquiries,,,openai,OpenAI (ChatGPT),general_purpose,generative,high
3138953-33-EXP1023,1477103,Dom Belza,,2026-01-31,1340.0,"Prompt.io, Inc.",Texting Platform,,,prompt_io,Prompt.io,political_specific,legacy,high
3155626-10-E-2595,1481651,Che Ahn,,2026-05-04,2607.29,"Campaign Nucleus, LLC",,,,campaign_nucleus,Campaign Nucleus,political_specific,legacy,high
3155626-11-E-2596,1481651,Che Ahn,,2026-05-04,16.94,"Campaign Nucleus, LLC",,,,campaign_nucleus,Campaign Nucleus,political_specific,legacy,high
3155626-12-E-2598,1481651,Che Ahn,,2026-05-05,121.28,"Campaign Nucleus, LLC",,,,campaign_nucleus,Campaign Nucleus,political_specific,legacy,high
3155626-13-E-2599,1481651,Che Ahn,,2026-05-08,119.88,"Campaign Nucleus, LLC",,,,campaign_nucleus,Campaign Nucleus,political_specific,legacy,high
3155626-14-E-2600,1481651,Che Ahn,,2026-05-11,121.51,"Campaign Nucleus, LLC",,,,campaign_nucleus,Campaign Nucleus,political_specific,legacy,high
3155677-19-E-5543,1488088,Dave Bass,,2026-05-07,1340.0,Prompt.io Inc.,,,,prompt_io,Prompt.io,political_specific,legacy,high
3139212-373-PDT389,1479597,Katie Porter,,2026-01-04,144.08,Otter.ai,,,,otter_ai,Otter.ai,general_purpose,legacy,high
3139212-374-PDT466,1479597,Katie Porter,,2026-02-04,144.08,Otter.ai,,,,otter_ai,Otter.ai,general_purpose,legacy,high
3139212-375-PDT531,1479597,Katie Porter,,2026-03-04,144.08,Otter.ai,,,,otter_ai,Otter.ai,general_purpose,legacy,high
3139212-376-PDT595,1479597,Katie Porter,,2026-04-04,144.08,Otter.ai,,,,otter_ai,Otter.ai,general_purpose,legacy,high
3155495-42-EXP1416,1461592,Janelle Kellman,,2026-05-04,1000.0,NUMERO.AI,Numero monthly subscription,,,numero_ai,Numero (donor database / call time),political_specific,legacy,high
3147741-53-EXP183,1485203,"Alliance Against Corporate Abuse, sponsored by Consumer Attorneys of California",,2026-03-24,1550.0,SoSha,,,,sosha,SoSha (Speechifai),political_specific,generative,high
3156484-15-E-174,1486535,Tia Ramirez,,2026-05-06,1012.5,Gemini Group Consulting,Reimbursement. See Sched. G,,,google_ai,Google (Gemini / Vertex AI),general_purpose,generative,medium
3156484-16-E-206,1486535,Tia Ramirez,,2026-05-11,12000.0,Gemini Group Consulting,Reimbursement. See Sched. G,,,google_ai,Google (Gemini / Vertex AI),general_purpose,generative,medium
3156019-25-EXP6657,742006,DEMOCRATIC PARTY OF ORANGE COUNTY,,2026-05-01,750.0,Prompt.io Inc.,June Member to Member,,,prompt_io,Prompt.io,political_specific,legacy,high
3155637-15-EDT20,1491150,"Advocates for safe schools, affordable housing and health care, and jobs opposing Sara Deen for Assembly 2026",,2026-05-15,1852.54,Prompt.io Inc.,,,,prompt_io,Prompt.io,political_specific,legacy,high
3155709-3-E1753205,1487620,Irene Lee,,2026-04-20,556.95,Numero.ai,Online Contribution Processing Fee,,,numero_ai,Numero (donor database / call time),political_specific,legacy,high
3155709-8-E1753241,1487620,Irene Lee,,2026-04-27,292.52,Numero.ai,Online Contribution Processing Fee,,,numero_ai,Numero (donor database / call time),political_specific,legacy,high
3155709-15-E1753243,1487620,Irene Lee,,2026-05-04,157.51,Numero.ai,Online Contibution Processing Fee,,,numero_ai,Numero (donor database / call time),political_specific,legacy,high
3155709-19-E1753245,1487620,Irene Lee,,2026-05-11,156.58,Numero.ai,Online Contribution Processing Fee,,,numero_ai,Numero (donor database / call time),political_specific,legacy,high
3139373-223-E-75193,1480425,Stephen Hilton,,2026-01-30,12500.0,EyesOver LLC,,,,eyesover,EyesOver,political_specific,legacy,high
3139373-224-E-91755,1480425,Stephen Hilton,,2026-03-03,12500.0,EyesOver LLC,,,,eyesover,EyesOver,political_specific,legacy,high
3139373-225-E-122900,1480425,Stephen Hilton,,2026-04-16,12500.0,EyesOver LLC,,,,eyesover,EyesOver,political_specific,legacy,high
3155621-78-EDT175,1474269,DaVita Patient Protection Committee,,2026-05-15,6274.44,Prompt.io Inc.,,,,prompt_io,Prompt.io,political_specific,legacy,high
3157055-1-EXP73,1467849,Joe Patterson,,2026-04-22,1282.0,"Prompt.io, Inc.",Text Messages (10/20/25),,,prompt_io,Prompt.io,political_specific,legacy,high
3157055-2-EXP75,1467849,Joe Patterson,,2026-04-22,2218.0,"Prompt.io, Inc.",Text Program,,,prompt_io,Prompt.io,political_specific,legacy,high
3138814-105-E-632,1482695,Don Wagner,,2026-01-23,7000.0,"Prompt.io, Inc.",,,,prompt_io,Prompt.io,political_specific,legacy,high
3138814-106-E-674,1482695,Don Wagner,,2026-02-10,2000.0,"Prompt.io, Inc.",,,,prompt_io,Prompt.io,political_specific,legacy,high
3138814-107-E-740,1482695,Don Wagner,,2026-03-04,1000.0,"Prompt.io, Inc.",,,,prompt_io,Prompt.io,political_specific,legacy,high
3157071-27-EXP5243,1486858,Matt Mahan,,2026-05-04,100.0,Anthropic,,,,anthropic,Anthropic (Claude),general_purpose,generative,high
3156577-128-PDT663,1479597,Katie Porter,,2026-05-04,144.08,Otter.ai,,,,otter_ai,Otter.ai,general_purpose,legacy,high
3138045-20-E1751486,1477625,Sergio Farias,,2026-03-09,0.19,Numero.ai,Online Contribution Processing Fee,,,numero_ai,Numero (donor database / call time),political_specific,legacy,high
3138045-21-E1751488,1477625,Sergio Farias,,2026-03-16,22.47,Numero.ai,Online Contribution Processing Fee,,,numero_ai,Numero (donor database / call time),political_specific,legacy,high
3138045-22-E1751490,1477625,Sergio Farias,,2026-03-23,26.27,Numero.ai,Online Contribution Processing Fee,,,numero_ai,Numero (donor database / call time),political_specific,legacy,high
3138045-24-E1751915,1477625,Sergio Farias,,2026-04-06,11.26,Numero.ai,Online Contribution Processing Fee,,,numero_ai,Numero (donor database / call time),political_specific,legacy,high
3138045-26-E1752196,1477625,Sergio Farias,,2026-04-13,24.38,Numero.ai,Online Contribution Processing Fee,,,numero_ai,Numero (donor database / call time),political_specific,legacy,high
3156919-16-E-13226,1478940,Edward Gaines,,2026-05-13,1340.0,Prompt.io Inc.,,,,prompt_io,Prompt.io,political_specific,legacy,high
3156945-18-G-637,1488406,Legislative Action PAC in support of Ed Musgrove for Senate 2026,,2026-05-14,31525.74,Prompt.io Inc.,Text Messages,,,prompt_io,Prompt.io,political_specific,legacy,high
3156576-28-EDT3,1487740,Phoebe H Maffei,,2026-05-04,18100.0,DAISYCHAIN,,,,daisychain,Daisychain,political_specific,generative,high
3163998-13-EDT6,1491490,"Supporting Susan Rubio for Senate 2026, sponsored by Personal Insurance Federation of California and Pharmaceutical Research and Manufacturers of America",,2026-05-27,4219.74,Prompt.io Inc.,,,,prompt_io,Prompt.io,political_specific,legacy,high
3163998-14-PDT5,1491490,"Supporting Susan Rubio for Senate 2026, sponsored by Personal Insurance Federation of California and Pharmaceutical Research and Manufacturers of America",,2026-05-27,4219.74,Prompt.io Inc.,,,,prompt_io,Prompt.io,political_specific,legacy,high
3165686-2-E1754224,1487620,Irene Lee,,2026-05-18,293.45,Numero.ai,Online Contribution Processing Fee,,,numero_ai,Numero (donor database / call time),political_specific,legacy,high
3165686-3-E1754226,1487620,Irene Lee,,2026-05-25,180.01,Numero.ai,Online Contribution Processing Fee,,,numero_ai,Numero (donor database / call time),political_specific,legacy,high
3165686-8-E1754228,1487620,Irene Lee,,2026-06-01,52.49,Numero.ai,Online Contribution Processing Fee,,,numero_ai,Numero (donor database / call time),political_specific,legacy,high
3165686-15-E1754453,1487620,Irene Lee,,2026-06-08,1.88,Numero.ai,Online Contribution Processing Fee,,,numero_ai,Numero (donor database / call time),political_specific,legacy,high
3165686-18-E1754641,1487620,Irene Lee,,2026-06-16,0.38,Numero.ai,Accounting and Reporting Purposes,,,numero_ai,Numero (donor database / call time),political_specific,legacy,high
3165686-22-E1754935,1487620,Irene Lee,,2026-06-29,19.05,Numero.ai,Online Contribution Processing Fee,,,numero_ai,Numero (donor database / call time),political_specific,legacy,high
3156820-42-G-18048,1457661,Marie Alvarado-Gil,,2026-05-12,1596.99,Prompt.io,Text Messages,,,prompt_io,Prompt.io,political_specific,legacy,high
3181591-23-EXP8493,1486858,Matt Mahan,,2026-06-03,100.0,Anthropic,,,,anthropic,Anthropic (Claude),general_purpose,generative,high
3171877-4-E-1224,743530,Mendocino County Republican Central Committee (State),,2026-05-28,700.0,"Prompt.io, Inc",,,,prompt_io,Prompt.io,political_specific,legacy,high
3177882-9-E-5653,1488088,Dave Bass,,2026-05-29,1000.0,Prompt.io Inc.,,,,prompt_io,Prompt.io,political_specific,legacy,high
3139022-38-EXP2593,1486858,Matt Mahan,,2026-04-03,100.0,Anthropic,,,,anthropic,Anthropic (Claude),general_purpose,generative,high
3173404-12-EDT41,1479474,"Working Families and Small Businesses Against Briceno in the Assembly 2026, a project of California Hotel + Lodging Association",,2026-05-19,4855.58,Prompt.io Inc.,,,,prompt_io,Prompt.io,political_specific,legacy,high
3173404-16-PDT9,1479474,"Working Families and Small Businesses Against Briceno in the Assembly 2026, a project of California Hotel + Lodging Association",,2026-05-26,4855.58,Prompt.io Inc.,,,,prompt_io,Prompt.io,political_specific,legacy,high
3173404-17-PDT11,1479474,"Working Families and Small Businesses Against Briceno in the Assembly 2026, a project of California Hotel + Lodging Association",,2026-05-26,4855.58,Prompt.io Inc.,,,,prompt_io,Prompt.io,political_specific,legacy,high
3174427-20-PDT192,1387303,PEOPLE FOR BETTER GOVERNMENT COMMITTEE OF THE YUHAAVIATAM OF SAN MANUEL NATION,,2026-05-13,4851.36,PROMPT.IO INC.,TEXT MESSAGES,,,prompt_io,Prompt.io,political_specific,legacy,high
3171839-37-G-27342,742344,Monterey County Republican Central Committee (State),,2026-04-20,17.0,Chatgpt,Web services,,,openai,OpenAI (ChatGPT),general_purpose,generative,high
