filer_cpf_id,year,total_expenditure
13045,2023,56741.05
13045,2024,65649.2
13045,2025,71086.67
13045,2026,65255.41
13052,2025,5.0
13052,2026,200.0
13089,2023,759.0
13089,2024,1300.0
13089,2025,650.0
13089,2026,300.0
13110,2023,8950.44
13110,2024,29458.03
13110,2025,6479.84
13110,2026,18987.36
13173,2023,612423.78
13173,2024,693184.64
13173,2025,679555.61
13173,2026,754731.99
13179,2023,360.73
13179,2024,450.91
13187,2023,571464.93
13187,2024,51866.46
13187,2025,46388.2
13187,2026,13337.31
13194,2023,94503.5
13194,2024,20807.13
13194,2025,88284.59
13194,2026,19900.75
13203,2023,26198.16
13217,2023,20706.98
13232,2023,378.0
13232,2024,55.0
13232,2025,60.0
13232,2026,1630.0
13237,2023,7571.67
13237,2024,13578.9
13237,2025,14697.06
13239,2025,139344.43
13239,2026,16569.38
13244,2024,304.49
13244,2025,216.24
13244,2026,105.23
13245,2023,5101.35
13256,2023,470842.64
13256,2024,197193.27
13256,2025,122534.36
13256,2026,91564.71
13269,2023,29830.63
13269,2024,36596.72
13269,2025,29525.93
13269,2026,17684.36
13279,2023,96.0
13279,2024,100.0
13279,2025,105.0
13283,2025,23099.46
13283,2026,1233.18
13284,2023,29413.64
13284,2024,33555.32
13284,2025,26692.59
13284,2026,23418.48
13286,2023,505.0
13286,2025,75.0
13286,2026,600.0
13294,2023,31706.6
13294,2024,193538.26
13294,2025,34250.8
13294,2026,13001.73
13312,2024,18507.53
13312,2025,254.0
13324,2023,760.0
13324,2024,620.0
13324,2025,2620.06
13324,2026,3306.0
13331,2023,52556.78
13331,2024,6271.61
13331,2025,97.5
13331,2026,65.16
13426,2023,74.0
13426,2024,9897.13
13426,2025,133.0
13426,2026,24.0
13431,2023,1222.81
13431,2024,10098.17
13431,2025,5845.25
13431,2026,5492.1
13460,2023,2274.1
13483,2023,3581.19
13483,2024,993.54
13483,2025,467.0
13483,2026,100.0
13510,2023,16223.0
13510,2024,1925.28
13510,2025,9863.8
13510,2026,782.81
13514,2023,1409.53
13560,2024,48336.35
13560,2025,317.08
13560,2026,100.0
13568,2023,15.0
13568,2025,5.0
13568,2026,20.0
13569,2023,248.57
13576,2023,7965.33
13576,2024,29262.71
13576,2025,1147.06
13578,2023,53952.46
13578,2024,69774.25
13578,2025,56231.41
13578,2026,29562.71
13579,2023,1275.5
13579,2024,43248.29
13596,2025,1421.26
13597,2023,40031.28
13597,2024,40902.09
13597,2025,41020.66
13597,2026,25531.21
13617,2023,9225.32
13617,2024,8617.61
13617,2025,4281.0
13617,2026,2110.0
13627,2023,22087.05
13627,2024,55084.73
13627,2025,13112.8
13627,2026,6820.45
13637,2023,1535.74
13645,2023,38816.35
13645,2024,93430.55
13645,2025,20107.62
13645,2026,12683.32
13651,2023,45306.11
13651,2024,122316.27
13651,2025,40530.95
13651,2026,28756.14
13663,2023,18639.66
13663,2024,3420.55
13663,2025,16785.37
13663,2026,2869.54
13664,2023,1933.92
13664,2025,8.78
13675,2023,2685.0
13675,2024,375.0
13675,2025,494.88
13675,2026,79.92
13681,2023,47949.9
13681,2024,54351.82
13681,2025,65828.39
13681,2026,42985.55
13720,2023,961.28
13720,2024,1031.77
13724,2023,64162.47
13724,2024,93628.13
13724,2025,79929.73
13724,2026,55037.93
13726,2023,5452.05
13726,2024,5514.13
13726,2025,8682.03
13726,2026,1877.95
13731,2023,5327.87
13736,2023,80029.04
13736,2024,268024.05
13736,2025,58751.31
13736,2026,218402.99
13758,2023,333696.35
13758,2024,423606.4
13758,2025,648113.42
13758,2026,275752.63
13783,2023,48541.4
13783,2024,10683.51
13783,2025,52595.75
13783,2026,1988.73
13785,2023,2208.47
13785,2024,5975.48
13785,2025,1325.48
13785,2026,767.48
13786,2023,85.0
13808,2023,14485.14
13808,2024,19579.87
13808,2025,24112.19
13808,2026,19582.6
13811,2023,70369.96
13811,2024,68460.95
13811,2025,83123.7
13811,2026,94932.1
13816,2023,564.8
13816,2024,455.62
13816,2025,800.0
13816,2026,100.0
13828,2023,319.99
13828,2024,565.95
13828,2025,354.99
13828,2026,522.76
13843,2023,55902.01
13843,2024,20010.6
13843,2025,561.0
