cmte_id,total_amount,total_count
C00000422,75811.39,60
C00000729,56483.49,49
C00000885,2589.0,1
C00000901,94386.44,48
C00000935,163886228.55,27525
C00000984,36.0,1
C00001016,10200.0,2
C00001198,12489.28,52
C00001305,209651.25,85
C00001313,4850319.47,2200
C00001388,5818.86,21
C00001636,10050.0,2
C00001727,47124.35,309
C00001743,71684.51,19
C00001917,223562.92,259
C00002089,779519.17,188
C00002238,28820.57,74
C00002261,10779.08,32
C00002469,7813.23,619
C00002592,1814.29,10
C00002766,286218.58,40
C00002832,13041.0,6
C00002840,1848123.76,271
C00002907,10692.93,13
C00002972,1206.28,5
C00003111,205427.57,536
C00003160,19659.79,27
C00003194,4126.86,11
C00003251,51240.56,312
C00003418,519853977.26,26296
C00003558,184142.85,215
C00003590,106799.91,63
C00003632,26403.0,28
C00003764,18653.39,88
C00003855,18809.37,87
C00003863,261.37,7
C00003988,90710.29,31
C00004036,12400720.0,320
C00004101,841.42,7
C00004325,525494.01,87
C00004606,1243391.56,443
C00004812,10740.4,31
C00004994,3021.41,114
C00005132,4148.9,10
C00005173,246162.08,35
C00005249,119168.47,2
C00005462,62383.04,51
C00005561,437296.79,136
C00005660,8941.95,4
C00005785,166382.43,227
C00005801,20368.54,18
C00005926,846679.2,596
C00006080,22087.57,72
C00006486,174771.18,62
C00007450,102.38,5
C00007542,5016.21,21
C00007658,74766.15,30
C00007880,52604.3,170
C00007898,21174.85,20
C00007922,4678.29,64
C00007948,721.72,24
C00008078,6192.43,5
C00008086,655263.44,531
C00008110,856.73,4
C00008169,3031.48,6
C00008227,2336511.32,947
C00008474,39913.0,14
C00008664,234742.92,69
C00008748,518.8,1
C00008839,6082.86,172
C00009282,978.34,7
C00009704,73094.8,151
C00009845,102728.76,151
C00009936,82270.39,80
C00009985,419.5,1
C00010033,366630.41,426
C00010082,62292.92,23
C00010124,7347.57,23
C00010363,115445.57,104
C00010421,5500.57,16
C00010439,106158.46,268
C00010603,302291848.06,21646
C00010793,24234.09,33
C00010868,38275.83,120
C00010876,32606.4,10
C00011114,173855.97,621
C00011197,70587.91,24
C00011262,7114.11,21
C00011544,4951.18,8
C00011627,45.81,6
C00011643,7881.15,19
