record_id,filer_id,filer_name,party,date,amount,payee_display,purpose_display,office,source_link,vendor_ids,vendor_names,vendor_groups,vendor_eras,confidences
1581194,20215040949,U.S. COMMITTEE TO ELECT JON GRAY-GINSBERG AS COLORADO GOVERNOR 2026,,2025-03-14,799.0,GOOGLE,"GOOGLE NEXT25 / GOOGLE FOR GOVT.

INTERNATIONAL GOOGLE AI CONVENTION BY INVITATION
GOOGLE FOR GOVT. CONVENTION BOOTH MEETING WITH ME

GOOGLE NEXT25 CONFERENCE",STATEWIDE,,google_ai,Google (Gemini / Vertex AI),general_purpose,generative,high
1580139,20175032059,ELECT PAUL LUNDEEN,,2025-03-21,20.0,CHATGPT,7218 � DUES AND SUBSCRIPTIONS,STATEWIDE,,openai,OpenAI (ChatGPT),general_purpose,generative,high
1579537,20225044063,WEINBERG FOR COLORADO,,2025-03-21,20.0,CHATGPT,7223 � SOFTWARE EXPENSE,STATEWIDE,,openai,OpenAI (ChatGPT),general_purpose,generative,high
1579226,20245046955,GWEN FOR COLORADO,,2025-03-31,50.0,CAMPAIGN NUCLEUS LLC,7223 � SOFTWARE EXPENSE,STATEWIDE,,campaign_nucleus,Campaign Nucleus,political_specific,legacy,high
1587353,20175032059,ELECT PAUL LUNDEEN,,2025-04-13,20.0,PERPLEXITY,6550 � ISSUE RESEARCH,STATEWIDE,,perplexity,Perplexity AI,general_purpose,generative,high
1590931,20235046581,CHRIS FOR RTD,,2025-04-14,19.98,DESCRIPT,,STATEWIDE,,descript,Descript,general_purpose,legacy,high
1589846,20245047180,COMMITTEE TO ELECT RICHARDSON FOR HOUSE DISTRICT 56,,2025-04-15,20.0,OPEN AI,AI ONLINE SERVICE (CHATGPT),STATEWIDE,,openai,OpenAI (ChatGPT),general_purpose,generative,high
1587342,20175032059,ELECT PAUL LUNDEEN,,2025-04-21,20.0,CHATGPT,7218 � DUES AND SUBSCRIPTIONS,STATEWIDE,,openai,OpenAI (ChatGPT),general_purpose,generative,high
1584401,20225042763,JULIE ANN COURIM,,2025-04-28,60.0,"XAI, LLC",AI TOOL FOR CONTENT GENERATION.,JEFFERSON,,xai_grok,xAI (Grok),general_purpose,generative,high
1586766,20245046955,GWEN FOR COLORADO,,2025-05-01,50.0,CAMPAIGN NUCLEUS LLC,,STATEWIDE,,campaign_nucleus,Campaign Nucleus,political_specific,legacy,high
1587354,20175032059,ELECT PAUL LUNDEEN,,2025-05-13,20.0,PERPLEXITY,6550 � ISSUE RESEARCH,STATEWIDE,,perplexity,Perplexity AI,general_purpose,generative,high
1590911,20215040123,COMMITTEE TO ELECT REGINA ENGLISH FOR COLORADO HOUSE,,2025-05-15,148.42,GRAMMARLY,SPEECH EDITING SERVICES,STATEWIDE,,grammarly,Grammarly,general_purpose,legacy,high
1589849,20245047180,COMMITTEE TO ELECT RICHARDSON FOR HOUSE DISTRICT 56,,2025-05-15,20.0,OPEN AI,AI ONLINE SERVICE (CHATGPT),STATEWIDE,,openai,OpenAI (ChatGPT),general_purpose,generative,high
1590857,20215040949,U.S. COMMITTEE TO ELECT JON GRAY-GINSBERG AS COLORADO GOVERNOR 2026,,2025-05-20,500.0,GOOGLE,"GOOGLE CLOUD CHARGES
VEO3 DEVELOPMENT
GEMINI DEVELOPMENT",STATEWIDE,,google_ai,Google (Gemini / Vertex AI),general_purpose,generative,medium
1587343,20175032059,ELECT PAUL LUNDEEN,,2025-05-21,20.0,CHATGPT,7218 � DUES AND SUBSCRIPTIONS,STATEWIDE,,openai,OpenAI (ChatGPT),general_purpose,generative,high
1589210,20225044063,WEINBERG FOR COLORADO,,2025-05-21,20.0,CHATGPT,7223 � SOFTWARE EXPENSE,STATEWIDE,,openai,OpenAI (ChatGPT),general_purpose,generative,high
1586767,20245046955,GWEN FOR COLORADO,,2025-06-02,50.0,CAMPAIGN NUCLEUS LLC,,STATEWIDE,,campaign_nucleus,Campaign Nucleus,political_specific,legacy,high
1589177,20255049324,4TH QUARTER IEC,,2025-06-14,585.62,CAMPAIGN NUCLEUS LLC,,STATEWIDE,,campaign_nucleus,Campaign Nucleus,political_specific,legacy,high
1585164,20255049325,PROTECT COLORADO COUNTIES,,2025-06-15,585.62,CAMPAIGN NUCLEUS LLC,"TO SUPPORT DOUGLAS COUNTY HOME RULE FOR SPECIAL ELECTION

TEXT MESSAGING",DOUGLAS,,campaign_nucleus,Campaign Nucleus,political_specific,legacy,high
1589851,20245047180,COMMITTEE TO ELECT RICHARDSON FOR HOUSE DISTRICT 56,,2025-06-16,20.0,OPEN AI,AI ONLINE SERVICES (CHATGPT),STATEWIDE,,openai,OpenAI (ChatGPT),general_purpose,generative,high
1591442,20255049325,PROTECT COLORADO COUNTIES,,2025-06-19,1157.37,CAMPAIGN NUCLEUS LLC,,DOUGLAS,,campaign_nucleus,Campaign Nucleus,political_specific,legacy,high
1589211,20225044063,WEINBERG FOR COLORADO,,2025-06-23,20.0,CHATGPT,7223 � SOFTWARE EXPENSE,STATEWIDE,,openai,OpenAI (ChatGPT),general_purpose,generative,high
1591443,20255049325,PROTECT COLORADO COUNTIES,,2025-06-26,92.73,CAMPAIGN NUCLEUS LLC,,DOUGLAS,,campaign_nucleus,Campaign Nucleus,political_specific,legacy,high
1591444,20255049325,PROTECT COLORADO COUNTIES,,2025-06-27,356.02,CAMPAIGN NUCLEUS LLC,,DOUGLAS,,campaign_nucleus,Campaign Nucleus,political_specific,legacy,high
1589179,20255049324,4TH QUARTER IEC,,2025-06-29,356.02,CAMPAIGN NUCLEUS LLC,,STATEWIDE,,campaign_nucleus,Campaign Nucleus,political_specific,legacy,high
1589180,20255049324,4TH QUARTER IEC,,2025-06-30,567.5,CAMPAIGN NUCLEUS LLC,,STATEWIDE,,campaign_nucleus,Campaign Nucleus,political_specific,legacy,high
1591578,20065619641,"EAGLE COUNTY REPUBLICANS (ECR, ECRCC)",,2025-06-30,48.84,"CAMPAIGN NUCLEUS, LLC",TEXTING FROM NUCLEUS,EAGLE,,campaign_nucleus,Campaign Nucleus,political_specific,legacy,high
1591445,20255049325,PROTECT COLORADO COUNTIES,,2025-06-30,567.49,CAMPAIGN NUCLEUS LLC,,DOUGLAS,,campaign_nucleus,Campaign Nucleus,political_specific,legacy,high
1599945,20255049324,4TH QUARTER IEC,,2025-07-01,92.73,CAMPAIGN NUCLEUS LLC,,STATEWIDE,,campaign_nucleus,Campaign Nucleus,political_specific,legacy,high
1599147,20245046955,GWEN FOR COLORADO,,2025-07-01,50.0,CAMPAIGN NUCLEUS LLC,7223 � SOFTWARE EXPENSE,STATEWIDE,,campaign_nucleus,Campaign Nucleus,political_specific,legacy,high
1599666,20175032059,ELECT PAUL LUNDEEN,,2025-07-02,20.0,PERPLEXITY,6550 � ISSUE RESEARCH,STATEWIDE,,perplexity,Perplexity AI,general_purpose,generative,high
1599653,20175032059,ELECT PAUL LUNDEEN,,2025-07-19,20.0,CHATGPT,7218 � DUES AND SUBSCRIPTIONS,STATEWIDE,,openai,OpenAI (ChatGPT),general_purpose,generative,high
1591461,20255049494,DR. RUEHL FOR D11,,2025-07-20,4.3,"ANEDOT, INC.",ANEDOT FEES - CLAUDE DALLAS,EL PASO,,anthropic,Anthropic (Claude),general_purpose,generative,medium
1598707,20225044063,WEINBERG FOR COLORADO,,2025-07-21,20.0,CHATGPT,7223 � SOFTWARE EXPENSE,STATEWIDE,,openai,OpenAI (ChatGPT),general_purpose,generative,high
1603600,20255048909,BENNET FOR GOVERNOR,,2025-07-22,99.99,OTTER.AI,SOFTWARE,STATEWIDE,,otter_ai,Otter.ai,general_purpose,legacy,high
1595373,20255048019,PEOPLE FOR DURAN,,2025-07-28,1250.0,"NUMERO, INC","CANDIDATE PAID NUMERO, INC,
FOR NUMERO.AI APP LICENSING
SEE CORRESPONDING CONTRIBUTION",STATEWIDE,,numero_ai,Numero (donor database / call time),political_specific,legacy,high
1599667,20175032059,ELECT PAUL LUNDEEN,,2025-07-31,20.0,PERPLEXITY,6550 � ISSUE RESEARCH,STATEWIDE,,perplexity,Perplexity AI,general_purpose,generative,high
1599654,20175032059,ELECT PAUL LUNDEEN,,2025-08-03,20.0,CHATGPT,7218 � DUES AND SUBSCRIPTIONS,STATEWIDE,,openai,OpenAI (ChatGPT),general_purpose,generative,high
1599668,20175032059,ELECT PAUL LUNDEEN,,2025-08-13,22.0,PERPLEXITY,6550 � ISSUE RESEARCH,STATEWIDE,,perplexity,Perplexity AI,general_purpose,generative,high
1598708,20225044063,WEINBERG FOR COLORADO,,2025-08-21,20.0,CHATGPT,7223 � SOFTWARE EXPENSE,STATEWIDE,,openai,OpenAI (ChatGPT),general_purpose,generative,high
1593282,20255050189,HADLEY FOR ST VRAIN,,2025-08-22,20.0,"OPENAI, INC.",,BOULDER,,openai,OpenAI (ChatGPT),general_purpose,generative,high
1596361,20255048019,PEOPLE FOR DURAN,,2025-09-01,1250.0,"NUMERO, INC","CANDIDATE PAID NUMERO.AI, 
FOR DATABASE & CALL TIME APP LICENSING 09.01.2025
SEE CORRESPONDING CONTRIBUTION",STATEWIDE,,numero_ai,Numero (donor database / call time),political_specific,legacy,high
1599655,20175032059,ELECT PAUL LUNDEEN,,2025-09-05,20.0,CHATGPT,7218 � DUES AND SUBSCRIPTIONS,STATEWIDE,,openai,OpenAI (ChatGPT),general_purpose,generative,high
1603170,20255047962,SCOTT BOTTOMS FOR GOVERNOR,,2025-09-05,20.0,SCOTT BOTTOMS,IN KIND - SOFTWARE - CHATGPT,STATEWIDE,,openai,OpenAI (ChatGPT),general_purpose,generative,high
1596725,20255050189,HADLEY FOR ST VRAIN,,2025-09-22,20.0,"OPENAI, INC.",CHATGPT,BOULDER,,openai,OpenAI (ChatGPT),general_purpose,generative,high
1598709,20225044063,WEINBERG FOR COLORADO,,2025-09-22,20.0,CHATGPT,7223 � SOFTWARE EXPENSE,STATEWIDE,,openai,OpenAI (ChatGPT),general_purpose,generative,high
1596792,20255050414,NORM MICHAELS FOR WOODLAND PARK SCHOOL BOARD,,2025-09-23,20.0,"OPEN AI, CHAT GPT",ARTIFICIAL INTELLIGENCE HELP WITH ADVERTISING,TELLER,,openai,OpenAI (ChatGPT),general_purpose,generative,high
1609273,20255051159,NEIGHBORS FOR A BETTER COLORADO,,2025-10-09,216.43,CAMPAIGN NUCLEUS,TEXT MESSAGING,DOUGLAS,,campaign_nucleus,Campaign Nucleus,political_specific,legacy,high
1609278,20255051159,NEIGHBORS FOR A BETTER COLORADO,,2025-10-09,270.82,CAMPAIGN NUCLEUS,TEXT MESSAGING,DOUGLAS,,campaign_nucleus,Campaign Nucleus,political_specific,legacy,high
1575830,20175032059,ELECT PAUL LUNDEEN,,2024-10-10,20.0,CHATGPT,7218 � DUES AND SUBSCRIPTIONS,STATEWIDE,,openai,OpenAI (ChatGPT),general_purpose,generative,high
1609280,20255051159,NEIGHBORS FOR A BETTER COLORADO,,2025-10-15,207.79,CAMPAIGN NUCLEUS,TEXT MESSAGING,DOUGLAS,,campaign_nucleus,Campaign Nucleus,political_specific,legacy,high
1609283,20255051159,NEIGHBORS FOR A BETTER COLORADO,,2025-10-15,262.85,CAMPAIGN NUCLEUS,TEXT MESSAGING,DOUGLAS,,campaign_nucleus,Campaign Nucleus,political_specific,legacy,high
1609285,20255051159,NEIGHBORS FOR A BETTER COLORADO,,2025-10-15,200.86,CAMPAIGN NUCLEUS,TEXT MESSAGING,DOUGLAS,,campaign_nucleus,Campaign Nucleus,political_specific,legacy,high
1609293,20255051159,NEIGHBORS FOR A BETTER COLORADO,,2025-10-16,658.46,CAMPAIGN NUCLEUS,TEXT MESSAGING,DOUGLAS,,campaign_nucleus,Campaign Nucleus,political_specific,legacy,high
