cmte_id,total_amount,total_count
C00089136,1847.06,31
C00089243,808756.58,259
C00089458,21176.24,7
C00089482,481122.46,391
C00090415,444.03,13
C00091561,458742.01,157
C00092247,12434.13,22
C00092841,325.47,3
C00092957,32575.25,199
C00096156,863308.04,98
C00096412,455793.85,312
C00096842,250.0,1
C00097485,787.13,1
C00097725,360.0,18
C00097865,3179.23,1
C00099002,1467.36,1
C00099259,1195583.83,1189
C00099267,306497.09,207
C00100644,34798.48,26
C00100693,5938.28,12
C00101105,328587.36,4
C00101204,159.84,6
C00101626,3421.93,18
C00101766,315.0,18
C00102764,6511.09,19
C00103549,200.0,2
C00103861,7418.03,25
C00103903,220.0,3
C00103978,35.0,1
C00104083,6250.0,2
C00104109,7467.31,19
C00104455,453.15,7
C00104471,319149.85,83
C00104802,2599.91,19
C00104901,20932.24,14
C00105338,10761.67,19
C00105668,540617.41,209
C00105973,472255.37,560
C00105981,37392.29,74
C00106146,27830.44,42
C00106435,1023.64,8
C00107128,7079.71,34
C00107136,1611.99,8
C00107235,162029.35,13
C00107771,125.0,5
C00108035,38129.24,56
C00108209,100.0,4
C00108613,125160.23,250
C00109546,683.03,1
C00109678,483.22,5
C00110478,5101.22,19
C00110585,1797.4,11
C00111237,2752.5,3
C00111278,62.34,3
C00111302,1978.36,27
C00112995,410.0,1
C00113159,904.46,2
C00113225,26133.55,21
C00113241,90514.25,140
C00113753,131315.85,44
C00113803,22562.95,70
C00113811,12813.85,57
C00113845,576.7,73
C00114025,8064.5,151
C00114108,2500.0,2
C00114132,2614.25,17
C00114314,92.5,1
C00114371,3210.0,3
C00114439,995835.62,625
C00114694,621.39,12
C00115527,11709.3,18
C00115832,526.29,11
C00116020,50.0,1
C00116632,913192.37,264
C00117424,148.4,3
C00118208,808.85,6
C00118430,2027.11,29
C00118943,7351.03,34
C00119008,120.0,4
C00120030,5792.82,23
C00120055,158502.06,41
C00120873,150.0,1
C00121350,6942.0,23
C00121582,3000.0,20
C00122101,23344.68,54
C00123612,521.13,7
C00125534,193617.87,42
C00125641,1346.0,15
C00125732,1785.05,19
C00126466,22.11,1
C00126763,33867.9,27
C00127811,11046.08,22
C00130658,2458355.69,536
C00130773,2472.12,16
C00130831,12870.48,3
C00131185,785783.37,115
C00132282,4088.61,30
C00133389,991.81,12
C00134676,92087.18,28
C00134726,2712.0,3
C00135368,17898.79,22
C00135541,10736.3,65
C00135558,388906.31,306
C00136200,230656.37,142
C00136457,407196.4,530
C00136689,7165.0,9
C00136853,50134.12,28
C00137273,18645.31,70
C00137729,3101.29,17
C00138966,561.36,1
C00138974,9001.07,9
C00139014,20000.0,2
C00139071,7480.19,19
C00139477,518.09,10
C00139568,1090.64,18
C00139600,455.06,19
C00139659,538545.03,310
C00140061,19002.72,43
C00140590,1678084.78,289
C00140707,3351.54,1
C00140715,486128.38,395
C00140855,2019.96,13
C00141218,5787.14,6
C00141572,89884.77,44
C00141812,687084.75,463
C00142083,664.0,1
C00142299,3521.25,18
C00142653,40.0,2
C00142711,995.0,13
C00142786,125.82,4
C00143230,261969.83,273
C00143743,1717208.14,560
C00143867,0.13,1
C00144261,39434.92,30
C00144345,2966.14,18
C00144766,1733.95,17
C00145342,1000.0,4
C00145623,11414.4,20
C00145862,763.7,2
C00147173,32455.58,55
C00147231,2641.91,15
C00147512,10884110.65,947
C00147975,24083.88,20
