cmte_id,total_amount,total_count
C00000935,5357091.0,81
C00001305,7111.0,1
C00003111,5614.0,1
C00003418,29255723.0,7
C00006486,40366.0,18
C00007658,73078.0,10
C00008664,348313.0,5
C00010603,13860122.0,132
C00013748,288.0,4
C00019331,9760.0,2
C00023838,3445.0,1
C00027466,13174028.0,40
C00031054,36414.0,1
C00033134,80556.0,5
C00042366,18385083.0,35
C00042622,51280.0,3
C00044842,109400.0,1
C00071365,30433.0,4
C00075820,2966686.0,37
C00082925,40000.0,1
C00089243,24365.0,2
C00089482,29999.0,2
C00099259,118000.0,2
C00104471,96100.0,7
C00105668,22250.0,1
C00105973,15000.0,2
C00108613,400.0,1
C00136200,58917.0,6
C00136457,160000.0,2
C00140590,100000.0,1
C00141812,196549.0,7
C00143230,556207.0,46
C00153031,50000.0,1
C00155952,69963.0,22
C00156810,5960.0,1
C00161067,6000.0,1
C00167015,55114.0,1
C00187450,8000.0,2
C00211763,33857.0,2
C00255695,3543622.0,290
C00282343,9304.0,4
C00334383,19040.0,2
C00350991,49269.0,12
C00410167,1287.0,1
C00428649,9480.0,2
C00434076,3000.0,1
C00772335,85250.0,2
