spender_id,total_amount,total_count
C00709691,67450.0,20
C00710178,2956876.67,775
C00710616,29727.44,1
C00710848,7129023.9,168
C00712109,5000.0,1
C00712885,429624.98,778
C00715433,190200.0,11
C00716704,245085.0,3
C00717223,162800.0,12
C00717728,100000.0,10
C00718510,213488.36,13
C00718841,1505076.23,21
C00720029,2746.0,3
C00720540,40990.72,64
C00721688,15891.52,4
C00722025,202000.0,6
C00722371,211289.53,39
C00723098,32822.44,10
C00724203,8982451.57,106
C00725820,1083990.0,70
C00727008,234920.62,81
C00727602,5000.0,2
C00728386,490815.01,13
C00731133,105146.7,2
C00731372,114249.2,8
C00732172,7604237.17,51
C00733352,50000.0,1
C00734657,1015478.14,5
C00735670,213191.0,6
C00736041,50225.0,1
C00736140,791.0,1
C00736751,2699078.42,5
C00737411,653879.16,37
C00737536,99830.0,5
C00738039,349751.0,86
C00738237,228089.75,38
C00738674,45000.0,1
C00738815,111171.33,226
C00739011,6545.49,7
C00739367,385000.0,1
C00739557,1511908.49,203
C00740126,5091.15,1
C00740225,1627118.0,18
C00740274,9676.44,2
C00740845,1093.65,3
C00740936,51066.21,5
C00741355,197957.78,4
C00741710,6830899.71,40
C00742080,127108.01,27
C00742130,186000.0,11
C00742205,52500.0,2
C00742296,989982.13,27
C00742635,225738.6,83
C00743021,161584.03,3
C00743377,70000.0,8
C00743682,1329500.0,5
C00744185,610993.21,13
C00744920,10410767.58,80
C00745208,7553348.61,45
C00745315,31000.0,3
C00745554,244278.0,4
C00745745,755298.27,16
C00746040,224323.26,20
C00746073,626659.96,40
C00746628,551131.25,9
C00747097,449640.0,21
C00747121,984023.5,1634
C00747170,3421.3,1
C00747998,1109283.13,285
C00748228,51489.0,4
C00748301,62663.86,12
C00748475,6302283.89,48
C00748582,196724.25,45
C00748798,348239.0,14
C00749085,9512249.62,48
C00749101,32512.1,46
C00749424,17070.0,6
C00749671,21807.23,3
C00750182,10009626.62,96
C00750786,50657.91,3
C00751032,2263575.5,35
C00751495,51474.8,3
C00752378,917200.31,17
C00752576,243111.63,23
C00752691,3382432.46,185
C00753277,1017612.23,35
C00753459,1400.0,1
C00753699,1379.05,4
C00754051,3463627.21,170
C00754069,19055.98,8
C00754242,13943.78,25
C00754754,53400.94,9
C00755348,52588.0,2
C00755629,15802.0,4
C00755678,30095.51,44
C00755694,134212.27,128
C00756056,54206.53,33
C00756569,17740.7,150
C00756940,1414015.63,57
C00757294,325401.58,7
C00757419,1717193.18,19
C00758003,4453.5,2
C00758011,101669.88,18
C00758292,3800.0,10
C00758789,685713.58,21
C00758938,1163994.5,777
C00758953,280714.75,744
C00759159,49248.67,9
C00759332,291259.58,754
C00759365,246329.69,738
C00759456,30307.39,5
C00759597,6731.32,4
C00760082,1020000.0,50
C00760124,5293000.0,74
C00760454,5266.13,4
C00760686,112272.44,11
C00760736,55000.0,8
C00760801,105883.69,2
C00760835,60000.0,2
C00761064,102463.36,42
C00761072,92424.56,5
C00761213,215055.15,7
C00762161,76784.06,6
C00762666,312153.03,8
C00762740,1037.27,2
C00762815,23125.0,8
C00762872,40000.0,2
C00763193,60567064.97,108
C00763227,23000.0,1
C00763409,477906.28,10
C00763433,51603.8,5
C00763698,2790.0,24
C00763730,124966.0,2
C00763870,137379.98,5
C00764233,240000.0,4
C00764522,132398.32,12
C00764894,67050.01,4
C00764936,115000.0,4
C00764977,526000.01,20
C00765206,50483.51,3
C00765883,11181.88,3
C00766154,915277.84,134
C00766527,50000.0,2
C00766659,74253.82,19
C00766907,319.11,2
C00767079,11213.0,8
C00767640,50000.0,4
C00768572,87950.0,4
C00768929,91250.0,5
C00769893,345200.0,3
C00770149,5464718.0,65
C00770214,200000.0,5
C00770362,67000.0,6
C00770495,15985860.2,61
C00770511,294560.0,19
C00770982,812800.73,12
C00771139,268508.91,22
C00771477,517132.0,10
C00771865,378806.97,844
C00771980,48436.93,5
C00772020,709170.89,40
C00772152,1143698.46,24
C00772491,183513.24,7
C00772848,68522.1,5
C00772913,423169.8,15
C00773390,1557826.94,761
C00773788,278079.84,702
C00774323,1639597.56,750
C00774463,827157.01,20
C00774513,1.0,1
C00774547,12000.0,1
C00774596,1531112.69,12
C00774679,178223.0,10
C00775593,4631.22,4
C00775601,6250.0,6
C00775627,150615.0,3
C00776062,16190.42,6
C00776385,6884555.6,44
C00776823,286691.0,86
C00777029,1624398.47,20
C00777060,1015187.45,19
C00777185,25579961.59,282
C00777334,1639891.09,14
C00777524,121769.01,14
C00778084,2392939.68,39
C00778266,17650.0,2
C00778316,72756.35,5
C00778472,1398810.71,6
C00778506,52603.58,5
C00779314,199883.04,6
C00779330,424441.0,4
C00780684,983135.64,20
C00782037,2393675.94,21
C00782086,13333.97,2
C00782144,341837.05,19
C00782508,209375.0,19
C00782656,4341316.65,55
C00783332,2750.0,4
