cmte_id,total_amount,total_count
C00000422,139060.91,65
C00000489,1000.0,1
C00000729,50966.31,63
C00000885,48463.0,7
C00000901,104804.42,51
C00000935,192363224.57,30564
C00001016,33249.0,6
C00001198,5741.82,22
C00001305,253178.96,66
C00001313,4411931.17,1162
C00001388,19115.6,31
C00001461,425.0,2
C00001636,-50300.0,43
C00001727,56072.89,320
C00001743,107772.95,47
C00001917,168101.51,358
C00002089,351682.26,122
C00002238,11214.55,34
C00002261,17530.12,38
C00002469,13810.21,705
C00002766,208115.47,34
C00002790,381.31,5
C00002832,16250.5,6
C00002840,1876945.71,155
C00002881,12729.95,21
C00002907,5637.08,7
C00002972,11943.0,3
C00003111,173548.43,200
C00003160,60067.03,46
C00003194,5328.0,20
C00003251,48334.32,25
C00003418,246620959.33,17378
C00003558,118525.4,112
C00003590,180613.96,63
C00003632,146393.99,24
C00003764,45035.31,72
C00003806,5330.56,1
C00003855,25407.95,39
C00003863,840.03,19
C00003988,176056.58,43
C00004036,16370771.17,290
C00004101,1603.82,7
C00004325,684581.41,86
C00004606,2203709.02,213
C00004812,18829.29,40
C00004861,0.0,2
C00004994,2321.61,121
C00005132,10628.1,6
C00005157,211.01,2
C00005173,71157.54,25
C00005462,100518.91,74
C00005561,1261537.79,650
C00005660,16173.86,12
C00005785,185927.16,321
C00005801,1318.77,3
C00005926,1793822.55,692
C00006080,16334.14,57
C00006486,192903.17,59
C00007070,71.71,1
C00007450,303.26,11
C00007542,9151.08,23
C00007658,87153.14,29
C00007880,69486.35,115
C00007898,22806.86,15
C00007922,156583.94,70
C00007948,946.98,24
C00008086,482636.03,515
C00008169,750.0,1
C00008227,1315704.57,1131
C00008664,169699.32,39
C00008748,646.4,3
C00008839,16678.52,75
C00009282,1481.17,23
C00009423,145.0,10
C00009639,210.0,1
C00009704,20852.35,63
C00009845,147673.91,183
C00009936,34973.56,51
C00010033,878700.91,588
C00010082,18.44,1
C00010124,25880.52,50
C00010363,145990.35,73
C00010421,596.32,16
C00010439,101707.91,136
C00010603,420805013.05,31766
C00010793,30184.89,39
C00010868,13649.49,35
C00010876,3660.0,3
C00011114,196195.57,556
C00011197,458134.04,114
C00011262,2280.7,21
C00011544,7905.73,8
C00011627,91.18,9
C00011643,12282.73,17
C00012310,3798.02,6
C00012401,7572.97,20
C00012468,928.0,27
C00012476,0.0,2
C00012914,29809.51,421
C00013128,4987.44,1
C00013342,181913.28,40
C00013748,199804.41,411
C00013961,1036.97,2
C00014092,234.27,1
C00014498,3517417.3,793
C00014555,2977.11,44
C00015552,1479.24,25
C00015594,275897.12,180
C00015933,261.94,4
C00016386,1000.0,4
C00016899,1918469.54,517
C00017194,7451.25,5
C00017244,50.0,1
C00018028,2774.7,23
C00018135,208.0,13
C00018929,172390.33,388
C00019083,3341.37,24
C00019331,5556708.3,1516
C00019380,391769.22,189
C00020818,66854.58,440
C00021121,759483.02,48
C00022343,77209.09,40
C00022368,5763.82,33
C00023028,10636.06,87
C00023580,1584226.41,133
C00023838,518840.31,312
C00024372,357022.54,479
C00024521,365394.69,108
C00024679,74345.23,30
C00024869,9728.69,26
C00024968,71299.35,93
C00025254,4546567.65,1111
C00025379,28687.95,16
C00025536,6300.9,24
C00027342,5000.0,1
C00027359,639.74,2
C00027466,163713953.11,8980
C00028860,631100.0,7
C00029348,3806.47,66
C00029447,114164.82,38
C00029504,138296.44,21
C00030718,3577826.34,63
C00030734,-8702.38,58
C00030809,15471.63,527
C00031054,1317798.11,1172
C00031088,2009489.56,1158
C00032334,798871.22,796
C00032607,11500.0,7
C00032698,142.0,8
C00032979,14747.44,30
C00032995,4659.41,490
C00033134,1352877.06,900
C00033589,3881.86,22
C00033779,16923.33,52
C00033969,1546.24,21
C00034033,368583.02,298
