cmte_id,total_amount,total_count
C00000935,7222327.0,286
C00001917,25478.0,3
C00003111,18521.0,3
C00003418,25386029.0,27
C00003988,18300.0,2
C00004606,97895.0,3
C00005561,37460.0,2
C00006486,15668.0,9
C00007658,205446.0,14
C00010033,16695.0,2
C00010603,17122877.0,144
C00013748,1842.0,2
C00016899,89332.0,4
C00019331,179670.0,9
C00019380,3750.0,1
C00025254,33708.0,4
C00027466,9757943.0,91
C00031054,8750.0,1
C00031088,202736.0,20
C00034033,231787.0,99
C00038505,101616.0,3
C00041160,1063873.0,6
C00041269,10483.0,8
C00042366,14085283.0,112
C00042622,141752.0,5
C00044776,82665.0,39
C00044842,3051.0,1
C00055582,118005.0,5
C00074450,93750.0,2
C00075820,5547919.0,69
C00082925,98725.0,1
C00099259,146303.0,2
C00104471,5354.0,2
C00105668,97450.0,2
C00135558,5000.0,1
C00141572,193.0,1
C00141812,24296.0,1
C00143743,2420507.0,3
C00150672,96900.0,1
C00162339,98800.0,1
C00164418,95074.0,3
C00167320,35895.0,30
C00188367,54291.0,24
C00190934,1975.0,4
C00253260,94481.0,3
C00315713,1707.0,2
C00350991,71031.0,11
C00404434,609.0,1
C00434076,10000.0,3
C00461244,14351.0,30
C00528182,2000.0,2
C00563254,3000.0,7
C00590067,48638.0,2
C00606962,1565.0,1
C00618223,558000.0,5
C00637462,350.0,1
C00648816,16480.0,1
C00654640,11946.0,6
C00668491,200000.0,4
C00671784,40000.0,3
C00675546,18000.0,3
C00681544,24500.0,2
C00695791,2003.0,5
C00703124,4000.0,2
C00703835,7401.0,5
C00704544,1000.0,1
C00709881,2064.0,12
C00710939,41344.0,3
C00710962,100000.0,2
C00711358,1599.0,4
C00712349,15000.0,1
C00716480,6862.0,19
C00719310,6000.0,1
C00720375,32400.0,5
C00724666,54.0,2
C00724849,200000.0,2
C00725259,100000.0,3
C00725937,56326.0,3
C00726042,50000.0,1
C00727867,100.0,1
C00728378,297.0,2
C00730358,2100.0,2
C00731901,120.0,2
C00734046,2636.0,1
C00736173,11088.0,4
C00738336,150000.0,1
C00738872,19299.0,2
C00741041,600.0,1
C00741397,4000.0,2
C00742429,1468.0,10
C00742817,3.0,1
C00744888,5000.0,3
C00745422,246.0,4
