spender_id,total_amount,total_count
C00000422,835000.0,2
C00000935,74234102.7,651
C00001016,2519.11,2
C00001636,63500.0,6
C00002089,2249.75,1
C00002840,97642.08,5
C00003590,28688.96,32
C00003632,91819.0,4
C00004036,9443913.44,334
C00006486,97748.21,18
C00007880,1799915.5,10
C00007922,426288.16,72
C00010421,178800.0,8
C00011114,4307622.5,45
C00012476,1062960.0,4
C00018929,3689.3,3
C00023580,39327.73,1
C00024422,24430.0,1
C00025254,355976.66,18
C00027466,21361846.75,49
C00030718,4741073.28,308
C00032979,110000.0,11
C00042366,43754853.31,165
C00053553,10168601.73,695
C00074450,302564.16,30
C00075820,50576806.62,474
C00082917,25000.0,1
C00082925,71777.02,2
C00099259,160500.0,2
C00106146,1827237.0,7
C00113241,293686.0,5
C00130658,50812.39,2
C00161786,20500.0,3
C00162339,130012.36,2
C00162818,6855.35,6
C00173153,790000.0,29
C00191247,39250.0,3
C00193441,114006.15,61
C00212787,5042.25,6
C00214981,92474.65,4
C00235853,1520.68,2
C00260331,8351.8,5
C00282459,1819.0,1
C00285593,7000.0,7
C00299396,59150.0,6
C00300731,7312.5,1
C00300921,8234.85,3
C00327189,30000.0,1
C00332296,10000.0,2
C00332841,13000.0,12
C00341396,3166478.45,590
C00343459,888833.42,16
C00346239,10750.3,7
C00348540,88874.58,15
C00350991,396701.69,29
C00364158,200000.0,6
C00365536,5586700.01,57
C00379479,17608.35,1
C00392928,15748.8,12
C00403741,25451.44,5
C00409730,100390.0,2
C00418897,13637595.29,90
C00428557,66799.54,15
C00430280,28575.0,10
C00432260,272461.37,139
C00448696,5440934.92,1432
C00453704,589087.96,24
C00454751,13999.69,2
C00454942,21825.61,7
C00455923,75360.8,28
C00458000,1500.0,1
C00473918,26409657.61,120
C00476978,27140.0,2
C00481200,8.0,1
C00483693,23674.89,7
C00483883,4187460.44,22
C00486845,39584259.16,653
C00487363,60214468.46,155
C00487470,18448903.06,383
C00487827,1050.0,1
C00488338,97417.12,3
C00488486,434610.95,7
C00488494,8000.0,1
C00488742,11750451.66,69
C00489799,3824636.23,287
C00489815,716541.09,24
C00489856,6044420.93,42
C00490375,9795450.09,172
C00492116,150244.1,8
C00492140,58571698.27,180
C00493262,1063619.18,10
C00494021,803000.0,14
C00495028,196206625.83,1292
C00495861,2331853.09,146
C00499988,10000.0,2
C00504522,413923.0,2
C00504530,216787366.48,2060
C00508440,1438029.41,89
C00509463,24524.5,8
C00509521,2500.0,6
C00509893,286375.62,111
C00513176,672896.65,13
C00514125,2394348.85,68
C00516500,38862.99,4
C00519363,1000000.0,1
C00520122,9528.34,5
C00521013,205385.43,24
C00523241,668533.0,29
C00523589,219000.0,10
C00523621,2642964.37,62
C00524181,1089277.58,165
C00525824,13357.78,4
C00528448,271257.97,8
C00528554,13344390.75,83
C00528901,45961.64,23
C00530766,6952958.85,144
C00531624,860024.76,37
C00532630,905250.0,13
C00536540,3552.18,2
C00540203,4505033.15,45
C00540229,110000.0,2
C00540443,7175604.01,18
C00540898,615578.62,33
C00541433,285207.22,18
C00542431,1183446.73,12
C00544387,8027233.93,43
C00544551,2186933.03,8
C00544767,350497.0,22
C00547349,2645825.22,6
C00550970,3964258.87,125
C00552851,1214480.03,527
C00556274,53583.18,35
C00556860,1548799.74,79
C00559740,1741171.5,30
C00559906,2528984.5,20
C00562777,325516.23,37
C00563254,23039.5,4
C00567396,20000.0,1
C00568444,850000.0,11
C00568931,805885.84,36
C00570226,270750.0,17
C00570416,8900.0,2
C00571588,42747110.92,66
C00571703,211093032.88,317
C00573261,1404523.63,54
C00573733,113690.75,2
C00574178,97665.03,19
C00574749,1318294.55,8
C00580068,2841593.34,20
C00587022,228736.51,29
C00589507,196655.57,22
C00594507,23988.24,1
C00606962,7823084.45,271
C00607374,182013.13,17
C00607556,31365.65,2
C00608943,1225128.61,45
C00609388,28904718.45,158
C00611202,18068.96,7
C00612820,2586442.7,185
C00613489,23144.0,8
C00620021,632428.61,14
C00620971,14418861.58,1133
C00623421,30000.0,2
C00624817,713724.23,10
C00624890,41260.63,13
C00625236,107900.0,23
C00625533,3546930.18,49
C00625566,69000.0,6
C00628008,399000.0,5
C00628115,9392.0,1
C00629477,98901.28,6
C00630665,3425629.24,36
C00631549,1739615.0,8
C00631903,48000.0,2
C00632398,512707.0,30
C00633248,5528165.37,44
C00634261,1201000.0,2
C00634774,1801895.62,41
C00637041,35000.0,1
C00638528,22390.0,10
C00639708,4088.0,2
C00640300,18199.38,47
C00647966,397171.76,138
C00648808,629615.75,19
C00654608,14319.97,1
C00654764,7858.48,3
C00657866,8783629.92,92
C00659219,155604.25,31
C00661264,12375.0,3
C00662072,67600.37,1
C00662221,3460892.37,79
C00663211,301440.91,110
C00666388,4032811.36,10
C00668517,20600.0,6
C00668905,7563135.98,107
C00669259,497155014.38,457
C00671685,228447.0,686
C00674093,127499.95,8
C00674697,260121.61,76
C00678839,267572.38,93
C00679316,48879.02,13
C00681478,263000.0,6
C00681825,759000.0,20
C00684258,511310.65,73
C00684332,1246.35,2
C00684530,607674.76,74
C00684969,1415302.37,486
C00685289,866945.44,104
C00685297,629931.04,4
C00685552,310009.96,10
C00685693,1709225.1,408
C00685982,188270.88,678
C00687103,151773456.24,3034
C00687327,1500.0,1
C00688432,1371.24,4
C00688580,596941.0,5
C00688655,9428677.71,236
C00689745,945766.94,11
C00690263,1000.0,2
C00690776,129188.11,149
C00690867,87985.0,15
C00692129,1182.59,2
C00692202,279600.0,2
C00692319,3805083.66,85
C00692467,100000.0,1
C00693531,755197.72,7
C00693838,21031610.23,95
C00695528,2129640.59,17
C00695981,15000.0,3
C00696112,6500.0,2
C00698936,4669895.58,88
C00699801,408681.41,694
C00701797,741450.0,13
C00701805,474538.41,16
C00701888,3794497.24,44
C00703082,621210.0,8
C00704593,286500.0,9
C00707844,11739177.1,124
C00709691,35045.0,2
C00710160,50000.0,1
C00710178,86000.0,4
C00710848,4150217.61,119
C00712885,53841.2,100
C00715433,184250.0,8
C00716704,96927.02,6
C00717710,9162.73,1
C00717728,151500.0,5
C00718353,4162300.59,44
C00718593,91892.76,6
C00720029,95973.2,10
C00720540,51764.97,29
C00720649,465420.0,18
C00722025,155750.0,6
C00724203,20102307.24,247
C00725820,5324340.98,195
C00728360,50000.0,1
C00728386,29416.21,3
C00731133,44887.0,2
C00732172,530142.75,23
C00733352,4194225.6,26
C00733915,411247.69,11
C00734400,250000.0,1
C00734616,2000.0,1
C00734657,652727.99,10
C00736009,332607.33,4
C00736140,26800.0,5
C00736637,418124.02,25
C00737411,496758.8,23
C00738039,661159.97,8
C00738237,1905120.28,20
C00738674,2743866.02,161
C00738732,200410.56,197
C00738815,169385.54,579
C00739557,264288.29,77
C00739565,231137.09,30
C00739755,7350.0,2
C00739771,322115.22,10
C00740126,52880.53,5
C00740225,4404837.76,28
C00740555,1084731.3,25
C00741041,1522.06,12
C00741355,2299668.9,55
C00742080,15249.09,4
C00742130,6000.0,1
C00742205,65556.49,93
C00742635,143370.32,84
C00743377,2250.0,1
C00743682,10000.0,1
C00744185,321391.31,18
C00744920,19478026.17,185
C00745745,2061874.95,32
C00746107,2125827.69,52
C00746628,380000.0,5
C00747097,621000.0,40
C00747121,2891237.86,1278
C00747998,5512681.87,141
C00748228,80000.0,8
C00748301,109073.12,4
C00748475,5156563.81,102
C00748582,7500.0,1
C00750182,1047773.7,10
C00750224,610002.33,84
C00750778,98603.87,7
C00752048,2442169.12,103
C00752089,435176.81,16
C00752154,14327.0,1
C00752378,532675.0,6
C00752576,47997.76,1
C00752691,16365673.76,69
C00753277,4063369.86,86
C00753558,275910.37,16
C00754051,9367527.36,636
C00754069,265223.65,7
C00754192,192874.23,196
C00754218,25950.0,6
C00754242,81193.98,208
C00754754,159864.4,7
C00755363,153755.73,13
C00756056,44000.0,12
C00756569,3122685.37,344
C00756791,23397.83,6
C00756940,694259.63,43
C00757294,453651.28,5
C00757419,1141500.0,9
C00758003,37370.83,30
C00758011,419129.46,23
C00758938,54764.46,100
C00760124,1427500.0,17
C00760132,12295.46,49
C00760488,95000.0,7
C00760736,217000.0,4
C00760801,336525.11,17
C00761064,881290.75,374
C00761072,1158673.37,30
C00762658,222525.75,28
C00762666,867397.41,2
C00763409,1447229.12,27
C00763870,299622.22,10
C00764209,103113.25,6
C00764233,102500.0,2
C00766659,305698.36,29
C00769232,5639747.74,67
C00770149,1225000.0,7
C00771477,1619957.69,2
C00771865,107057.5,620
C00772152,3334317.33,49
C00772194,9598.55,1
C00772244,20000.0,2
C00772848,57282.25,3
C00773390,294987.71,1140
C00773788,136862.74,678
C00774257,111810.0,3
C00774323,30794.67,102
C00774463,114068.64,10
C00775601,1413.92,1
C00778381,116500.0,10
C00779314,38853.58,8
C00779595,2234021.83,40
C00780841,572011.45,17
C00781039,131437.05,10
C00782508,45405.38,4
C00782847,77956.38,10
C00785121,849999.75,3
C00785352,9000000000.0,1
C00785568,21270.0,1
C00785899,660577.9,18
C00786517,36755.46,4
C00786830,6872554.79,129
C00787432,427769.4,8
C00787671,55241.19,620
C00787945,1034604.52,71
C00790089,612074.34,9
C00790923,7664535.5,32
C00792028,10000.0,1
C00794396,1596941.38,27
C00796045,25817658.83,76
C00797084,7600.0,2
C00797332,44388.44,4
C00797340,76606.42,20
C00798009,224536.23,15
C00799031,38044932.69,266
C00799502,11094.12,1
C00799528,5000.0,1
C00799916,7000.0,1
C00800995,294057.99,10
C00801803,4881752.88,849
C00801951,3000.0,1
C00802207,182980.22,7
C00802389,22873.7,13
C00803593,187500.0,2
C00804633,656138.0,12
C00804823,3080592.29,25
C00804856,37356890.83,1434
C00807321,292009.0,14
C00807412,195134.08,25
C00807958,64639.17,5
C00808121,2995931.0,24
C00808998,1031928.44,13
C00809467,52658.82,604
C00809830,115000.0,2
C00809970,5336.83,11
C00811166,11607348.7,203
C00811786,242500.0,1
C00812495,410000.0,2
C00813006,16500.0,2
C00814152,1277329.11,25
C00814202,69178.8,5
C00814806,120291.0,2
C00815381,18349.22,4
C00815753,204995.0,7
C00815928,4345000.0,27
C00816173,7753.0,2
C00816843,30200.0,6
C00816868,236664.12,19
C00817122,1291388.81,33
C00817668,6500.0,1
C00818161,169972.45,8
C00819508,125000.0,3
C00819631,157455.89,10
C00820357,108915.6,2
C00821280,17614.07,17
C00821314,10000.0,1
C00821348,55073.89,13
C00821439,11930134.77,269
C00821611,69890.98,20
C00821728,348903.73,168
C00821942,14930.0,1
C00822536,449769.0,18
C00823468,10000.0,1
C00823534,100000.0,1
C00824292,1146458.42,15
C00824334,245880.49,23
C00824607,55076.92,5
C00824714,33500.0,1
C00824821,77415.88,100
C00825091,8576645.98,59
C00825158,470000.0,4
C00825737,101437.82,11
C00825851,376889470.76,463
C00825885,704166.0,94
C00826024,2122.9,8
C00826073,523450.0,1
C00826263,1436644.58,75
C00826412,80000.0,1
C00826743,68750.0,3
C00826776,225830.0,26
C00826800,41030.5,5
C00827030,306800.0,26
C00827063,42304.4,3
C00827253,469509.22,18
C00827626,39000.0,1
C00828061,81833473.73,358
C00828178,25000.0,1
C00828608,323688.45,15
C00828921,2000.0,1
C00829424,22081.08,3
C00829903,75000.0,1
C00830463,130591.0,3
C00830596,0.0,1
C00831248,85755.48,1
C00831404,4591519.2,91
C00831552,1140258.67,58
C00832485,3018691.38,12
C00832493,56000.0,3
C00832550,10000.0,1
C00832626,10000.0,2
C00832642,122900.0,5
C00832691,9342435.0,13
C00832980,971108.48,63
C00833103,28000.0,4
C00833228,421000.0,2
C00833418,1490167.0,10
C00833566,682936.83,13
C00833749,6554190.89,191
C00834077,37763022.46,255
C00834630,15504048.66,30
C00835041,4390592.88,52
C00835066,36255.4,6
C00835942,1947061.8,6
C00835959,40665514.98,84
C00835967,7065745.17,136
C00836031,32547.03,2
C00836221,57818913.44,63
C00836338,851083.58,2
C00836395,22800.0,1
C00836783,32467.72,1
C00836866,3480.1,4
C00836916,305100.78,34
C00837427,8531652.32,8
C00837443,22048.0,4
C00838169,568725.0,6
C00838177,384050.0,9
C00838268,468834.5,2
C00838458,62834.5,4
C00839159,708842.18,30
C00839407,63133.66,27
C00839464,3075231.22,57
C00839977,10000.84,1
C00840546,14978801.31,94
C00840702,2552995.52,16
C00841593,7739200.58,165
C00842344,19009955.72,43
C00842443,125090.08,6
C00842575,75000.0,1
C00842740,107000.0,1
C00843094,255000000.0,1
C00843110,194000.0,2
C00843714,52500.0,2
C00844282,4167837.36,50
C00844530,526064.93,10
C00844548,37500.0,1
C00844613,54015152.77,477
C00845685,5477980.7,18
C00845693,81000.0,2
C00845776,112000.0,2
C00845974,91789.63,32
C00846428,412375.37,44
C00847145,4475620.11,44
C00847236,1293618.82,17
C00847574,38000.0,4
C00847673,189954.0,7
C00848440,34523202.41,94
C00848739,267879.0,3
C00849034,54891.75,6
C00849489,54394982.49,98
C00849729,33816255.22,122
C00849877,58000.0,1
C00850081,87469.75,6
C00850487,56000.0,3
C00850719,950000.0,1
C00851279,4360.5,1
C00851410,306666.0,13
C00852244,925812.22,62
C00852996,42050.0,4
C00853119,65000.0,16
C00853523,125205.58,68
C00853713,1025000.0,9
C00853770,790960.91,12
C00853861,21184890.58,51
C00853887,13612.0,2
C00854059,100000.0,2
C00854299,1614289.0,23
C00854448,100000.0,2
C00854810,12300.0,2
C00854869,536210.1,4
C00854893,1281857.6,85
C00855064,5342129.42,39
C00855171,102750.0,9
C00855213,909564.0,32
C00855379,382086.25,7
C00855577,74379.08,4
C00855809,379164.6,5
C00855924,882921.09,6
C00856385,97170.86,9
C00856427,622350.0,1
C00856435,4500.0,1
C00856559,11183.78,13
C00856807,43630.51,40
C00857011,10553442.0,30
C00857177,1666389.71,38
C00857383,457452.6,24
C00857425,283275.0,1
C00857631,421766.05,12
C00858100,75000.0,2
C00858381,1525248.56,32
C00858779,3489200.43,193
C00858852,4674.57,6
C00859355,6465300.91,134
C00859660,736302.86,12
C00860106,78257.96,7
C00860148,788746.59,34
C00860155,5035587.5,29
C00860312,37276.53,4
C00860411,120000.0,1
C00862094,930000.0,18
C00863084,3325728.0,19
C00863456,34000.0,3
C00863472,525000.0,3
C00863548,116092.8,22
C00863704,5145.0,3
C00863761,3765.0,2
C00864017,10750.0,1
C00864058,247785.0,4
C00864173,48253.77,6
C00864215,141129.6,11
C00864272,1504118.83,19
C00864348,1108682.66,23
C00864363,1953916.0,10
C00864421,8583.93,2
C00864512,255000.0,6
C00864926,9635813.37,140
C00865055,1484640.5,10
C00865238,51656.37,4
C00865246,254558.21,14
C00865352,70218.5,20
C00865444,311281132.43,577
C00865717,171520.71,3
C00865725,2016856.62,37
C00865923,419271.78,25
C00866269,809659.09,26
C00866368,986389.87,53
C00866418,15000.0,1
C00866517,9000.0,1
C00866640,23076.0,1
C00866673,75818.9,14
C00866731,68654.92,5
C00866780,724563.42,34
C00867036,69583233.16,42
C00867861,500744.53,29
C00867945,34893.56,22
C00868026,404297.4,29
C00868083,77057.59,8
C00868448,30753.04,51
C00868604,220561.92,9
C00868612,300000.0,3
C00868679,887778.54,6
C00868935,242303.8,3
C00868976,85500.0,2
C00869073,5032049.66,777
C00869305,30230.69,19
C00869321,996111.35,14
C00869503,96769.9,2
C00870030,27014740.16,65
C00870204,174835.64,5
C00870311,598719.45,49
C00870592,16581630.12,60
C00870642,21910.0,2
C00870717,67001.35,6
C00870766,373365.0,3
C00871012,189500.0,4
C00871079,884886.14,9
C00871327,21404.46,8
C00871368,10495997.74,22
C00871566,17500.0,1
C00871988,233340.0,4
C00872085,3815643.0,68
C00872119,761764.67,11
C00872127,495244.11,7
C00872150,846216.47,42
