spender_id,total_amount,total_count
C00000422,300163.0,2
C00003632,2010.0,2
C00003988,136392.0,3
C00004036,249088.57,15
C00007880,1499931.79,6
C00010421,261662.5,7
C00011114,1560805.42,7
C00030718,1230260.0,88
C00053553,5375.15,3
C00162818,18999.18,2
C00193441,3705.22,1
C00214981,131865.0,2
C00235853,1275.0,2
C00271338,600000.0,9
C00341396,210956.64,43
C00343459,286621.89,9
C00364158,50000.0,1
C00365536,2414516.58,11
C00375279,47077.8,8
C00392928,20000.0,1
C00401786,40000.0,2
C00418897,18982588.81,113
C00432260,91719.73,38
C00448696,2273206.12,1647
C00449926,199405.0,2
C00453704,70787.03,17
C00473918,2562725.16,48
C00486845,16568790.27,282
C00487470,9490534.4,238
C00488338,100473.04,8
C00489799,2907390.89,69
C00490375,2728895.06,18
C00492116,159000.0,2
C00492140,10822875.2,175
C00495028,19450670.25,209
C00504530,23622811.58,135
C00508440,50.0,2
C00509893,153128.7,8
C00513176,2431797.0,28
C00519413,45128.63,2
C00521013,17376.21,3
C00523241,622987.5,34
C00523498,8244.6,4
C00523621,624626.91,40
C00524181,725698.16,95
C00525824,12750.0,7
C00528455,19750.0,10
C00528554,3878459.25,13
C00528901,1258350.22,17
C00531624,25000.0,1
C00540203,135000.0,4
C00540443,2328392.56,8
C00540898,58535.52,7
C00542217,35406730.25,83
C00544387,371000.0,3
C00550970,3183998.28,47
C00552851,2897071.9,425
C00559740,994064.4,25
C00562777,2977500.0,41
C00568444,2324107.03,11
C00570416,21261.5,5
C00571117,7900.0,5
C00571588,1659890.0,2
C00571703,111320227.02,274
C00573733,10311232.58,114
C00574178,5617.45,1
C00574749,107750.0,2
C00575456,97411.08,3
C00576215,141105.83,24
C00580068,1722722.35,80
C00587022,751198.92,11
C00590471,15000.0,1
C00604496,9000.0,2
C00606962,3946668.53,198
C00608943,2460867.82,42
C00609388,411018.0,3
C00612820,22673.8,11
C00613489,5003.0,3
C00620021,931489.51,16
C00625533,569270.0,6
C00626119,946196.88,33
C00628115,8514.0,2
C00630665,4517692.04,91
C00630830,4170.0,3
C00633248,11841936.76,76
C00634261,350000.0,2
C00640300,33108.51,55
C00647966,129679.81,32
C00654764,1301380.04,8
C00657866,3600571.75,15
C00662221,542326.9,20
C00668905,329827.36,3
C00678839,319303.85,67
C00681825,304880.0,14
C00684258,4035.94,2
C00684969,20000.0,4
C00685297,1486924.86,14
C00685552,1067910.01,26
C00685693,134641.36,10
C00685719,5137399.85,58
C00687103,50172671.7,642
C00688432,304307.39,3
C00689745,68783.32,24
C00692319,428279.71,8
C00693838,2916106.14,40
C00698936,1465340.99,59
C00701797,125000.0,4
C00707844,5039704.94,21
C00710178,37000.0,2
C00710848,2749956.49,24
C00716704,748377.64,16
C00718353,175000.0,4
C00720029,50329.2,7
C00722025,125000.0,3
C00722884,165886.48,152
C00724203,3274658.29,34
C00725820,20000.0,1
C00727008,1075.0,2
C00728352,27777.74,5
C00728386,822500.0,3
C00728667,3151845.03,15
C00731133,1217990.32,39
C00731372,10000.0,1
C00732172,344429.72,11
C00733352,5542277.28,45
C00733915,100000.0,2
C00735738,22800.0,12
C00736009,22683.93,1
C00736140,468000.0,16
C00737411,183240.0,6
C00738237,40963.0,3
C00738674,302045.52,5
C00738815,7062.84,14
C00739771,4987047.0,6
C00740225,3775000.0,4
C00741355,62854.0,2
C00741710,9692.36,32
C00742080,9686.15,11
C00742130,45000.0,2
C00742205,3137.46,14
C00742635,88842.51,23
C00744185,3563409.56,21
C00744920,2265583.43,136
C00745745,189459.8,15
C00746628,1300050.0,13
C00747121,148641.4,223
C00748228,50000.0,2
C00751503,4798817.05,46
C00752691,2102018.3,25
C00753277,878128.53,9
C00754051,428020.64,13
C00754069,1049083.2,18
C00754192,15641.7,2
C00756569,21476.49,4
C00756940,648213.48,71
C00757419,161497.95,7
C00758011,6015.0,4
C00760124,275000.0,10
C00760488,15000.0,1
C00760801,278000.0,3
C00760835,18921.5,1
C00761064,89016.06,72
C00761072,970.37,1
C00762815,16705.32,2
C00764209,293436.57,18
C00764233,3570733.07,5
C00769232,110335.0,1
C00771113,6142.55,2
C00772244,198346.18,6
C00782656,1691149.49,48
C00782847,300000.0,1
C00786830,1295948.23,69
C00787945,39088.0,2
C00794396,868494.77,66
C00796045,1751968.0,2
C00797340,16260.97,5
C00798009,64386.67,9
C00799031,53494955.35,152
C00802207,51404.22,2
C00809970,150400.0,4
C00810051,130000.0,5
C00811166,6247566.49,58
C00812792,19950.0,8
C00813089,2727216.95,39
C00814152,77860.65,9
C00814202,79043.51,8
C00815753,367772.5,11
C00816173,178821.01,30
C00816876,504767.2,4
C00819508,889941.0,20
C00820357,243568.1,7
C00821439,832701.9,41
C00822536,97629.2,8
C00824342,32658.64,24
C00825737,20432.52,1
C00826263,152413.64,12
C00827030,13758.6,1
C00827618,170343.53,26
C00828608,4224819.69,24
C00829432,215446.12,10
C00829721,450.5,2
C00829952,74130.0,1
C00830042,1447447.28,13
C00830463,162799.76,7
C00832238,17959.11,9
C00832493,93759.0,11
C00833566,15000.0,1
C00835041,164535.52,18
C00835959,13158947.79,41
C00835967,11437901.57,163
C00836221,32480475.54,119
C00837443,641750.0,25
C00839407,19640.93,2
C00839894,29530.49,14
C00843110,2456640.52,86
C00844530,2434952.18,18
C00844613,15959611.75,225
C00845271,245925.37,5
C00846683,25000.0,1
C00847137,110916.01,8
C00848440,27630973.9,175
