cmte_id,total_amount,total_count
C00000422,41019.32,50
C00000489,10000.0,2
C00000729,49812.82,47
C00000885,12886.0,5
C00000901,81043.32,52
C00000935,214970644.64,30936
C00001016,11500.0,2
C00001198,7998.04,51
C00001305,492806.5,90
C00001313,2663443.07,1600
C00001388,11243.15,27
C00001461,476.73,7
C00001636,9372.35,16
C00001727,40433.59,349
C00001743,96061.93,27
C00001917,246865.21,371
C00002089,668320.03,96
C00002238,25709.07,75
C00002261,17996.95,35
C00002469,11260.43,479
C00002766,128152.27,20
C00002790,882.14,8
C00002832,16200.0,7
C00002840,1748087.02,231
C00002881,350.0,10
C00002907,13517.13,15
C00003111,167675.38,352
C00003160,4067.73,27
C00003194,4992.52,13
C00003251,72212.38,59
C00003418,279075911.68,22913
C00003558,86037.01,139
C00003590,114283.42,61
C00003632,23505.69,28
C00003764,31257.9,73
C00003855,16332.21,70
C00003863,3318.26,16
C00003988,78486.29,32
C00004036,11172199.58,192
C00004101,1176.67,2
C00004325,516544.49,83
C00004606,516429.83,339
C00004812,14087.42,31
C00004994,2344.24,122
C00005132,51990.76,111
C00005157,5140.0,1
C00005173,62211.78,28
C00005462,179261.27,106
C00005561,920675.75,486
C00005660,5547.0,2
C00005785,198868.89,348
C00005801,711.0,1
C00005926,2350565.26,690
C00006080,16998.87,65
C00006486,393110.42,106
C00007070,142.35,2
C00007450,374.37,10
C00007542,8048.5,23
C00007658,120201.24,32
C00007880,55451.41,145
C00007898,35699.16,16
C00007922,140743.46,26
C00007948,1036.63,24
C00008086,351028.27,506
C00008169,1631.57,3
C00008227,1884254.12,986
C00008268,14497.53,2
C00008474,32275.0,3
C00008664,97983.38,22
C00008839,9072.74,80
C00009282,1932.18,18
C00009639,-100.0,1
C00009704,59464.62,125
C00009845,207332.11,295
C00009936,30443.47,52
C00010033,491179.92,481
C00010082,35107.78,19
C00010124,19780.45,36
C00010363,137562.84,102
C00010421,1560.46,14
C00010439,448993.93,367
C00010603,288530957.45,34557
C00010793,23328.62,36
C00010868,18252.98,87
C00010876,3116.25,5
C00010983,1500.0,2
C00011114,135948.15,546
C00011197,894030.4,652
C00011262,2955.93,21
C00011544,6846.72,10
C00011627,62.73,7
C00011643,1693.69,7
C00012229,304121.81,332
C00012401,7739.98,21
C00012468,380.0,1
C00012476,778585.0,2
C00012914,61257.21,111
C00013128,3912.68,4
C00013342,92970.29,32
C00013748,197573.92,332
C00014092,10768.4,22
C00014498,4195043.25,1055
C00014555,1453.67,20
C00015552,1261.51,46
C00015594,294658.37,143
C00015933,269.23,8
C00016386,17318.45,9
C00016899,1505991.06,525
C00017194,4922.0,4
C00017244,90.95,2
C00018028,1691.97,14
C00018135,352.0,22
C00018929,145690.45,364
C00019083,2666.4,21
C00019331,3311158.16,1657
C00019380,113388.12,36
C00020818,157761.63,523
C00021121,902474.18,64
C00022343,61148.85,44
C00022368,3394.0,27
C00023028,6700.19,61
C00023580,2176274.9,130
C00023838,853065.54,355
C00024372,226539.4,275
C00024521,256177.92,111
C00024679,171747.1,232
C00024869,9248.21,26
C00024968,76083.15,129
C00025254,3814589.21,1110
C00025379,55806.05,49
C00025536,5593.72,24
C00027359,1278.07,4
C00027466,146843274.16,6979
C00028860,51153.82,2
C00029348,2570.24,41
C00029447,65038.33,37
C00029504,24152.01,22
C00030718,1277027.19,96
C00030734,6150.64,40
C00030809,19002.11,287
C00031054,1537016.45,953
C00031088,2453554.18,1058
C00032334,872484.94,624
C00032698,69.94,6
C00032979,16130.58,60
C00032995,1123.95,291
C00033134,3170420.41,1269
C00033423,1461.26,3
