report_id,date_filed,report_type,is_amendment
1022266,4/23/2026,Bank Report,True
1022279,4/23/2026,Bank Report,True
1022288,4/23/2026,Bank Report,True
1022299,4/23/2026,Bank Report,True
1022307,4/23/2026,Bank Report,True
1022316,4/23/2026,Bank Report,True
1022836,4/30/2026,Credit Card Report,False
1023026,5/1/2026,Bank Report,False
1023047,5/1/2026,Bank Report,False
1023056,5/1/2026,Bank Report,False
1023293,5/1/2026,Bank Report,False
1023300,5/1/2026,Bank Report,False
1023457,5/4/2026,Bank Report,False
1023617,5/4/2026,Bank Report,False
1023646,5/4/2026,Bank Report,False
1023862,5/4/2026,Bank Report,False
1024065,5/4/2026,Credit Card Report,False
1024388,5/5/2026,Bank Report,False
1024390,5/5/2026,Bank Report,False
1024558,5/5/2026,Bank Report,False
1024669,5/5/2026,Bank Report,False
1024682,5/5/2026,Bank Report,False
1024729,5/5/2026,Bank Report,False
1026773,6/1/2026,Bank Report,False
1026791,6/1/2026,Bank Report,False
1026798,6/1/2026,Bank Report,False
1026934,6/1/2026,Bank Report,False
1027009,6/1/2026,Bank Report,False
1027054,6/1/2026,Bank Report,False
1027284,6/1/2026,Bank Report,False
1027299,6/1/2026,Bank Report,False
1027494,6/2/2026,Bank Report,False
1027790,6/3/2026,Bank Report,False
1027899,6/3/2026,Bank Report,False
1027979,6/3/2026,Bank Report,False
1028054,6/3/2026,Bank Report,False
1028138,6/3/2026,Bank Report,False
1028170,6/3/2026,Bank Report,False
1028260,6/3/2026,Bank Report,False
1028321,6/3/2026,Bank Report,False
1028518,6/4/2026,Credit Card Report,False
1028546,6/4/2026,Bank Report,False
1028568,6/4/2026,Bank Report,False
1028655,6/5/2026,Bank Report,False
1028668,6/5/2026,Bank Report,False
1028714,6/5/2026,Bank Report,False
1028960,6/6/2026,Credit Card Report,False
1030559,7/1/2026,Bank Report,False
1030581,7/1/2026,Bank Report,False
1031001,7/1/2026,Bank Report,False
1031094,7/1/2026,Bank Report,False
1031176,7/1/2026,Bank Report,False
1031186,7/1/2026,Bank Report,False
1031324,7/2/2026,Bank Report,False
1031475,7/2/2026,Bank Report,False
1031624,7/2/2026,Bank Report,False
1031798,7/2/2026,Bank Report,False
1031906,7/2/2026,Bank Report,False
1031918,7/3/2026,Bank Report,False
1031926,7/3/2026,Bank Report,False
1031952,7/3/2026,Bank Report,False
1031999,7/3/2026,Bank Report,False
1032045,7/3/2026,Bank Report,False
1032274,7/5/2026,Credit Card Report,False
1032450,7/6/2026,Bank Report,False
1032463,7/6/2026,Bank Report,False
1032508,7/6/2026,Bank Report,False
1032887,7/8/2026,Credit Card Report,False
1034666,7/29/2026,Credit Card Report,False
1034667,7/29/2026,Credit Card Report,False
1035041,8/3/2026,Bank Report,False
1035060,8/3/2026,Bank Report,False
1035456,8/3/2026,Bank Report,False
1035471,8/3/2026,Bank Report,False
1035601,8/3/2026,Bank Report,False
1035696,8/3/2026,Bank Report,False
1035719,8/3/2026,Bank Report,False
1035863,8/4/2026,Bank Report,False
1035913,8/4/2026,Bank Report,False
1036081,8/4/2026,Bank Report,False
1036150,8/4/2026,Credit Card Report,False
1036171,8/4/2026,Bank Report,False
1036448,8/4/2026,Bank Report,False
1036465,8/5/2026,Bank Report,False
1036828,8/5/2026,Bank Report,False
1036841,8/5/2026,Bank Report,False
1037037,8/5/2026,Bank Report,False
1037055,8/5/2026,Bank Report,False
1037493,8/8/2026,Credit Card Report,False
1037659,8/10/2026,Bank Report,True
1037728,8/10/2026,Bank Report,True
1037744,8/10/2026,Bank Report,True
1037747,8/10/2026,Bank Report,True
1037837,8/11/2026,Bank Report,True
1037860,8/11/2026,Bank Report,True
1040233,8/30/2026,Credit Card Report,False
1040455,9/1/2026,Bank Report,False
1040470,9/1/2026,Bank Report,False
1040649,9/1/2026,Bank Report,False
1040691,9/1/2026,Bank Report,False
1040974,9/2/2026,Bank Report,False
1041004,9/2/2026,Bank Report,False
1041062,9/2/2026,Bank Report,False
1041251,9/2/2026,Bank Report,False
1041274,9/2/2026,Bank Report,False
1041329,9/2/2026,Bank Report,False
1041407,9/2/2026,Bank Report,False
1041442,9/2/2026,Pre-primary Report,False
1041465,9/2/2026,Bank Report,False
1041501,9/2/2026,Bank Report,True
1041546,9/2/2026,Bank Report,False
1041843,9/3/2026,Bank Report,False
1041883,9/3/2026,Bank Report,False
1041975,9/3/2026,Bank Report,False
1042159,9/4/2026,Bank Report,False
1042174,9/4/2026,Bank Report,False
1042220,9/4/2026,Bank Report,False
1042321,9/4/2026,Bank Report,False
1042323,9/4/2026,Bank Report,False
1042325,9/4/2026,Bank Report,False
1042383,9/5/2026,Credit Card Report,False
1042475,9/8/2026,60th Day Preceding Election Report,True
