spender_id,total_amount,total_count
C00000422,344800.0,2
C00000885,49416.66,8
C00000935,90829958.69,891
C00001636,117000.0,4
C00002089,45707.8,2
C00002469,12785.42,1
C00002766,3095.35,2
C00002840,118752.84,3
C00003418,7120919.18,63
C00003590,75260.35,12
C00003632,37182.22,9
C00004036,14889130.0,320
C00006486,9474.79,8
C00007542,60000.0,3
C00007880,1850175.6,15
C00007922,546917.03,17
C00008086,60000.0,2
C00010363,566734.1,18
C00010421,5736.0,4
C00011114,10238912.2,78
C00012476,3747311.82,18
C00023580,74640.01,2
C00025254,15000.0,1
C00027466,120641430.06,573
C00029447,324745.74,22
C00030718,2992302.48,163
C00031054,1012.76,4
C00032979,59019.21,16
C00032995,28584.77,13
C00035600,23619.83,2
C00038505,59526.56,2
C00041160,47027.1,6
C00041269,626000.0,2
C00042366,91239158.86,178
C00044776,19487.9,2
C00053553,8888919.33,1760
C00074450,254133.96,20
C00075820,80680071.67,593
C00094573,20748.07,1
C00101105,180000.0,4
C00105080,1524.08,1
C00106146,1646676.0,8
C00111278,43600.0,4
C00122101,190000.0,6
C00129171,11698.71,1
C00135368,155548.67,24
C00140061,30000.0,1
C00141572,71780.57,8
C00143230,356544.41,2
C00143743,24250.0,1
C00147512,1069078.25,34
C00158402,24000.0,2
C00162818,134165.96,20
C00172296,27730.97,6
C00172361,21024.33,11
C00173153,479320.0,16
C00175521,10151.36,9
C00176214,53325.56,2
C00179408,81999.0,10
C00188367,25000.0,2
C00193441,51840.59,55
C00196246,18389.17,2
C00202804,6401.48,1
C00206516,8544.89,2
C00211524,2385.03,1
C00212787,15586.02,16
C00214981,112500.0,5
C00265546,4900.0,2
C00276659,1655.0,1
C00285593,1896.56,1
C00295527,435500.0,4
C00296640,32500.0,2
C00300426,13500.0,6
C00300731,46658.77,3
C00300921,100179.0,7
C00307777,28340.0,2
C00327189,75000.0,2
C00332296,108010.98,11
C00341396,10834495.11,1205
C00342048,387500.0,17
C00343137,90000.0,2
C00343459,169030.01,4
C00348540,1777962.54,34
C00354605,7385.6,8
C00358051,17819.25,3
C00359992,2538.68,2
C00364158,399916.9,14
C00365536,1954431.81,25
C00370007,28919.0,4
C00389858,30000.0,2
C00390526,2000.0,2
C00392928,2233.26,5
C00401786,31000.0,7
C00402842,2098.02,6
C00407866,3672.15,9
C00418897,25865875.43,164
C00419242,68715.28,12
C00419978,12067.5,10
C00425645,151829.63,6
C00427849,11329.53,3
C00428557,2171095.84,77
C00430280,8670.0,39
C00432260,171688.84,81
C00440032,60000.0,2
C00448696,5372938.46,941
